Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
KC001007,Replacement of special power wheelchair interface,Repl special pwr wc intrface,,,C,,200501012005,2025-09-12 20:34:03
KD001007,Drug or biological infused through dme,Drug/biological dme infused,,,C,,200401012004,2025-09-12 20:34:03
KE001007,Bid under round one of the dmepos competitive bidding program for use with,Bid under round 1 dmepos cb,,,C,,200901012009,2025-09-12 20:34:03
KE002008,non-competitive bid base equipment,,,,,,,2025-09-12 20:34:03
KF001007,Item designated by fda as class iii device,Fda class iii device,,,C,,200404012004,2025-09-12 20:34:03
KG001007,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,,,C,,200707012007,2025-09-12 20:34:03
KH001007,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",,,C,,199401011997,2025-09-12 20:34:03
KI001007,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,,,C,,199401011997,2025-09-12 20:34:03
KJ001007,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months",Dmepos pen pmp or 4-15mo rnt,,,C,,199401011997,2025-09-12 20:34:03
KJ002008,four to fifteen,,,,,,,2025-09-12 20:34:03
KK001007,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,,,C,,200707012007,2025-09-12 20:34:03
KL001007,Dmepos item delivered via mail,Dmepos mailorder comp bid,,,C,,200707012009,2025-09-12 20:34:03
KM001007,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,,,C,,199601012001,2025-09-12 20:34:03
KN001007,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,,,C,,199601012001,2025-09-12 20:34:03
KO001007,Single drug unit dose formulation,Single drug unit dose form,,,C,,199704011997,2025-09-12 20:34:03
KP001007,First drug of a multiple drug unit dose formulation,First drug of multi drug u d,,,C,,199704011997,2025-09-12 20:34:03
KQ001007,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,,,C,,199704011997,2025-09-12 20:34:03
KR001007,"Rental item, billing for partial month",Rental item partial month,,,C,,200201012002,2025-09-12 20:34:03
KS001007,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,,,D,0074,199810011998,2025-09-12 20:34:03
KT001007,Beneficiary resides in a competitive bidding area and travels outside that,Item from noncontract supply,,,C,,200707012008,2025-09-12 20:34:03
KT002008,competitive bidding area and receives a competitive bid item,,,,,,,2025-09-12 20:34:03
KU001007,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,,,C,,200707012007,2025-09-12 20:34:03
KV001007,Dmepos item subject to dmepos competitive bidding program that is furnished as,"Dmepos item, profession serv",,,C,,200801012008,2025-09-12 20:34:03
KV002008,part of a professional service,,,,,,,2025-09-12 20:34:03
KW001007,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4,,,C,,200801012008,2025-09-12 20:34:03
KX001007,Requirements specified in the medical policy have been met,Documentation on file,,,C,,200207012002,2025-09-12 20:34:03
KY001007,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5,,,C,,200801012008,2025-09-12 20:34:03
KZ001007,New coverage not implemented by managed care,New cov not implement by m+c,,,C,,200310012003,2025-09-12 20:34:03
L1001007,Provider attestation that the hospital laboratory test(s) is not packaged under,Separately payable lab test,,,C,,201407012017,2025-09-12 20:34:03
L1002008,the hospital opps,,,,,,,2025-09-12 20:34:03
LC001007,Left circumflex coronary artery,Lft circum coronary artery,,,C,,199701011997,2025-09-12 20:34:03
LD001007,Left anterior descending coronary artery,Left ant des coronary artery,,,C,,199701011997,2025-09-12 20:34:03
LL001007,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,Lease/rental (appld to pur),,,C,,198401011997,2025-09-12 20:34:03
LL002008,against the purchase price),,,,,,,2025-09-12 20:34:03
LM001007,Left main coronary artery,Left main coronary artery,,,C,,201301012013,2025-09-12 20:34:03
LR001007,Laboratory round trip,Laboratory round trip,,,C,,198701011997,2025-09-12 20:34:03
LS001007,Fda-monitored intraocular lens implant,Fda-monitored iol implant            65-7,,,D,,199101011997,2025-09-12 20:34:03
LT001007,Left side (used to identify procedures performed on the left side of the body),Left side,,,C,,198401011997,2025-09-12 20:34:03
LU001007,Fractionated payment,Fractionated payment,,,C,,202201012023,2025-09-12 20:34:03
M2001007,Medicare secondary payer (msp),Medicare secondary payer,,,C,,200701012007,2025-09-12 20:34:03
MA001007,Ordering professional is not required to consult a clinical decision support,Emer med cond susp/confirm,,,C,,202001012025,2025-09-12 20:34:03
MA002008,mechanism due to service being rendered to a patient with a suspected or,,,,,,,2025-09-12 20:34:03
MA003008,confirmed emergency medical condition,,,,,,,2025-09-12 20:34:03
MB001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, insuf internet",,,C,,202001012025,2025-09-12 20:34:03
MB002008,mechanism due to the significant hardship exception of insufficient internet,,,,,,,2025-09-12 20:34:03
MB003008,access,,,,,,,2025-09-12 20:34:03
MC001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, vendor issues",,,C,,202001012025,2025-09-12 20:34:03
MC002008,mechanism due to the significant hardship exception of electronic health record,,,,,,,2025-09-12 20:34:03
MC003008,or clinical decision support mechanism vendor issues,,,,,,,2025-09-12 20:34:03
MD001007,Ordering professional is not required to consult a clinical decision support,"Auc hardship, extreme circ",,,C,,202001012025,2025-09-12 20:34:03
MD002008,mechanism due to the significant hardship exception of extreme and,,,,,,,2025-09-12 20:34:03
MD003008,uncontrollable circumstances,,,,,,,2025-09-12 20:34:03
ME001007,The order for this service adheres to appropriate use criteria in the clinical,Order adheres to auc,,,C,,202001012025,2025-09-12 20:34:03
ME002008,decision support mechanism consulted by the ordering professional,,,,,,,2025-09-12 20:34:03
MF001007,The order for this service does not adhere to the appropriate use criteria in,Order does not adhere to auc,,,C,,202001012025,2025-09-12 20:34:03
MF002008,the clinical decision support mechanism consulted by the ordering professional,,,,,,,2025-09-12 20:34:03
MG001007,The order for this service does not have applicable appropriate use criteria in,Auc not applicable to order,,,C,,202001012025,2025-09-12 20:34:03
MG002008,the qualified clinical decision support mechanism consulted by the ordering,,,,,,,2025-09-12 20:34:03
MG003008,professional,,,,,,,2025-09-12 20:34:03
MH001007,Unknown if ordering professional consulted a clinical decision support,Auc consult not provided,,,C,,202001012025,2025-09-12 20:34:03
MH002008,"mechanism for this service, related information was not provided to the",,,,,,,2025-09-12 20:34:03
MH003008,furnishing professional or provider,,,,,,,2025-09-12 20:34:03
MS001007,Six month maintenance and servicing fee for reasonable and necessary parts and,6-mo maint/svc fee parts/lbr,,,C,,198901011997,2025-09-12 20:34:03
MS002008,labor which are not covered under any manufacturer or supplier warranty,,,,,,,2025-09-12 20:34:03
N1001007,Group 1 oxygen coverage criteria met,Group 1 oxygen cov crit met,,,C,,202301012023,2025-09-12 20:34:03
N2001007,Group 2 oxygen coverage criteria met,Group 2 oxygen cov crit met,,,C,,202301012023,2025-09-12 20:34:03
N3001007,Group 3 oxygen coverage criteria met,Group 3 oxygen cov crit met,,,C,,202301012023,2025-09-12 20:34:03
NB001007,"Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer,,,C,,201101012011,2025-09-12 20:34:03
NR001007,New when rented (use the 'nr' modifier when dme which was new at the time of,New when rented,,,C,,198401011997,2025-09-12 20:34:03
NR002008,rental is subsequently purchased),,,,,,,2025-09-12 20:34:03
NU001007,New equipment,New equipment,,,C,,198401011997,2025-09-12 20:34:03
P1001007,A normal healthy patient,Normal healthy patient,,,C,,200601012006,2025-09-12 20:34:03
P2001007,A patient with mild systemic disease,Patient w/mild syst disease,,,C,,200601012006,2025-09-12 20:34:03
P3001007,A patient with severe systemic disease,Patient w/severe sys disease,,,C,,200601012006,2025-09-12 20:34:03
P4001007,A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life,,,C,,200601012006,2025-09-12 20:34:03
P5001007,A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper,,,C,,200601012006,2025-09-12 20:34:03
P6001007,A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed,,,C,,200601012006,2025-09-12 20:34:03
PA001007,Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part",,,I,,200907012009,2025-09-12 20:34:03
PB001007,Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient",,,I,,200907012009,2025-09-12 20:34:03
PC001007,Wrong surgery or other invasive procedure on patient,Wrong surgery on patient,,,I,,200907012009,2025-09-12 20:34:03
PD001007,Diagnostic or related non diagnostic item or service provided in a wholly owned,Inp admit w/in 3 days,,,C,,201201012012,2025-09-12 20:34:03
PD002008,or operated entity to a patient who is admitted as an inpatient within 3 days,,,,,,,2025-09-12 20:34:03
PI001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor init tx strat,,,C,,200907012009,2025-09-12 20:34:03
PI002008,the initial treatment strategy of tumors that are biopsy proven or strongly,,,,,,,2025-09-12 20:34:03
PI003008,suspected of being cancerous based on other diagnostic testing,,,,,,,2025-09-12 20:34:03
PL001007,Progressive addition lenses,Progressive addition lenses,,,C,,198901011997,2025-09-12 20:34:03
PM001007,Post mortem,Post mortem,,,C,,201401012014,2025-09-12 20:34:03
PN001007,"Non-excepted service provided at an off-campus, outpatient, provider-based",Non-excepted off-campus svc,,,C,0207,201701012017,2025-09-12 20:34:03
PN002008,department of a hospital,,,,,,,2025-09-12 20:34:03
PO001007,"Excepted service provided at an off-campus, outpatient, provider-based",Excepted off-campus service,,,C,0207,201501012017,2025-09-12 20:34:03
PO002008,department of a hospital,,,,,,,2025-09-12 20:34:03
PS001007,Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor subsq tx strategy,,,C,,200907012009,2025-09-12 20:34:03
PS002008,the subsequent treatment strategy of cancerous tumors when the beneficiary's,,,,,,,2025-09-12 20:34:03
PS003008,treating physician determines that the pet study is needed to inform subsequent,,,,,,,2025-09-12 20:34:03
PS004008,anti-tumor strategy,,,,,,,2025-09-12 20:34:03
PT001007,Colorectal cancer screening test; converted to diagnostic test or other,Clrctal screen to diagn,,,C,,201101012011,2025-09-12 20:34:03
PT002008,procedure,,,,,,,2025-09-12 20:34:03
Q0001007,Investigational clinical service provided in a clinical research study that is,Invest clinical research,,,D,0146,200801012008,2025-09-12 20:34:03
Q0002008,in an approved clinical research study,,,,,,,2025-09-12 20:34:03
Q1001007,Routine clinical service provided in a clinical research study that is in an,Routine clinical research,,,D,0146,200801012008,2025-09-12 20:34:03
Q1002008,approved clinical research study,,,,,,,2025-09-12 20:34:03
Q2001007,Demonstration procedure/service,"Demo procedure, service",,,C,0046,199201012017,2025-09-12 20:34:03
Q3001007,Live kidney donor surgery and related services,Live donor surgery/services,,,C,,199501012003,2025-09-12 20:34:03
Q4001007,Service for ordering/referring physician qualifies as a service exemption,Svc exempt - ordrg/rfrng md,,,C,,199401011997,2025-09-12 20:34:03
Q5001007,Service furnished under a reciprocal billing arrangement by a substitute,Recip bill arr subs md or pt                           3060.6,,,D,,199301012017,2025-09-12 20:34:03
Q5002008,physician or by a substitute physical therapist furnishing outpatient physical,,,,,,,2025-09-12 20:34:03
Q5003008,"therapy services in a health professional shortage area, a medically",,,,,,,2025-09-12 20:34:03
Q5004008,"underserved area, or a rural area",,,,,,,2025-09-12 20:34:03
Q6001007,Service furnished under a fee-for-time compensation arrangement by a substitute,Fee/time comp subst md or pt                           3060.7,,,D,,199301012017,2025-09-12 20:34:03
Q6002008,physician or by a substitute physical therapist furnishing outpatient physical,,,,,,,2025-09-12 20:34:03
Q6003008,"therapy services in a health professional shortage area, a medically",,,,,,,2025-09-12 20:34:03
Q6004008,"underserved area, or a rural area",,,,,,,2025-09-12 20:34:03
Q7001007,One class a finding,One class a finding,,,C,,199501011997,2025-09-12 20:34:03
Q8001007,Two class b findings,Two class b findings,,,C,,199501011997,2025-09-12 20:34:03
Q9001007,One class b and two class c findings,1 class b & 2 class c fndngs,,,C,,199501011997,2025-09-12 20:34:03
QA001007,Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg sta day/night o2 < 1 lpm,,,C,,201804012018,2025-09-12 20:34:03
QA002008,nighttime use differ and the average of the two amounts is less than 1 liter,,,,,,,2025-09-12 20:34:03
QA003008,per minute (lpm),,,,,,,2025-09-12 20:34:03
QB001007,Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg day/nite o2 > 4 lpm/port,,,C,,201804012018,2025-09-12 20:34:03
QB002008,nighttime use differ and the average of the two amounts exceeds 4 liters per,,,,,,,2025-09-12 20:34:03
QB003008,minute (lpm) and portable oxygen is prescribed,,,,,,,2025-09-12 20:34:03
QC001007,Single channel monitoring,Single channel monitoring,,,C,,198901011997,2025-09-12 20:34:03
QD001007,Recording and storage in solid state memory by a digital recorder,Rcrdg/strg in sld st memory,,,C,,198901011997,2025-09-12 20:34:03
QE001007,Prescribed amount of stationary oxygen while at rest is less than 1 liter per,Stationary o2 @ rest <1 lpm,,,C,,198901012018,2025-09-12 20:34:03
QE002008,minute (lpm),,,,,,,2025-09-12 20:34:03
QF001007,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per,Station o2 @ rest >4lpm/port,,,C,,198901012018,2025-09-12 20:34:03
QF002008,minute (lpm) and portable oxygen is prescribed,,,,,,,2025-09-12 20:34:03
QG001007,Prescribed amount of stationary oxygen while at rest is greater than 4 liters,Station o2 @ rest > 4 lpm,,,C,,198901012018,2025-09-12 20:34:03
QG002008,per minute (lpm),,,,,,,2025-09-12 20:34:03
QH001007,Oxygen conserving device is being used with an oxygen delivery system,Oxygen cnsrvg dvc w del sys,,,C,,198901011997,2025-09-12 20:34:03
QJ001007,"Services/items provided to a prisoner or patient in state or local custody,",Patient in state/locl custod,,,D,0111,200301012003,2025-09-12 20:34:03
QJ002008,"however the state or local government, as applicable, meets the requirements in",,,,,,,2025-09-12 20:34:03
QJ003008,42 cfr 411.4 (b),,,,,,,2025-09-12 20:34:03
QK001007,"Medical direction of two, three, or four concurrent anesthesia procedures",Med dir 2-4 cncrnt anes proc                           3350.5,,,D,,199501012001,2025-09-12 20:34:03
QK002008,involving qualified individuals,,,,,,,2025-09-12 20:34:03
QL001007,Patient pronounced dead after ambulance called,Patient died after amb call,,,C,,199901011999,2025-09-12 20:34:03
QM001007,Ambulance service provided under arrangement by a provider of services,Ambulance arr by provider,,,C,,199601011999,2025-09-12 20:34:03
QN001007,Ambulance service furnished directly by a provider of services,Ambulance furn by provider,,,C,,199601011999,2025-09-12 20:34:03
QP001007,Documentation is on file showing that the laboratory test(s) was ordered,Individually ordered lab tst                           7517.1,,,D,,199601011996,2025-09-12 20:34:03
QP002008,individually or ordered as a cpt-recognized panel other than automated profile,,,,,,,2025-09-12 20:34:03
QP003008,"codes 80002-80019, g0058, g0059, and g0060.",,,,,,,2025-09-12 20:34:03
QQ001007,Ordering professional consulted a qualified clinical decision support mechanism,Qualified cdsm consulted,,,C,,201807012025,2025-09-12 20:34:03
QQ002008,for this service and the related data was provided to the furnishing,,,,,,,2025-09-12 20:34:03
QQ003008,professional,,,,,,,2025-09-12 20:34:03
QR001007,Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg sta day/night o2 > 4 lpm,,,C,,201804012018,2025-09-12 20:34:03
QR002008,nighttime use differ and the average of the two amounts is greater than 4,,,,,,,2025-09-12 20:34:03
QR003008,liters per minute (lpm),,,,,,,2025-09-12 20:34:03
QS001007,Monitored anesthesia care service,Monitored anesthesia care            15018I,,,D,,199001011996,2025-09-12 20:34:03
QT001007,Recording and storage on tape by an analog tape recorder,Rcrdg/strg tape analog recdr,,,C,,198901011997,2025-09-12 20:34:03
QW001007,Clia waived test,Clia waived test,,,C,,199601011996,2025-09-12 20:34:03
QX001007,Crna service: with medical direction by a physician,Crna svc w/ md med direction,,,C,,199301011997,2025-09-12 20:34:03
QY001007,Medical direction of one certified registered nurse anesthetist (crna) by an,Medically directed crna                                3350.5,,,D,,199801012001,2025-09-12 20:34:03
QY002008,anesthesiologist,,,,,,,2025-09-12 20:34:03
QZ001007,Crna service: without medical direction by a physician,Crna svc w/o med dir by md,,,C,,199301011997,2025-09-12 20:34:03
RA001007,"Replacement of a dme, orthotic or prosthetic item",Replacement of dme item,,,C,,200901012011,2025-09-12 20:34:03
RB001007,"Replacement of a part of a dme, orthotic or prosthetic item furnished as part","Replacement part, dme item",,,C,,200901012011,2025-09-12 20:34:03
RB002008,of a repair,,,,,,,2025-09-12 20:34:03
RC001007,Right coronary artery,Right coronary artery,,,C,,199701011997,2025-09-12 20:34:03
RD001007,"Drug provided to beneficiary, but not administered ""incident-to""",Drug admin not incident-to,,,C,,200401012004,2025-09-12 20:34:03
RE001007,Furnished in full compliance with fda-mandated risk evaluation and mitigation,Furnish full compliance rems,,,C,,200901012009,2025-09-12 20:34:03
RE002008,strategy (rems),,,,,,,2025-09-12 20:34:03
RI001007,Ramus intermedius coronary artery,Ramus intermedius cor artery,,,C,,201301012013,2025-09-12 20:34:03
RR001007,Rental (use the 'rr' modifier when dme is to be rented),Rental (dme),,,C,,198401011997,2025-09-12 20:34:03
RT001007,Right side (used to identify procedures performed on the right side of the body,)Right side,,,C,,198401011997,2025-09-12 20:34:03
SA001007,Nurse practitioner rendering service in collaboration with a physician,Nurse practitioner w physici,,,I,,200107012001,2025-09-12 20:34:03
SB001007,Nurse midwife,Nurse midwife,,,I,,200107012001,2025-09-12 20:34:03
SC001007,Medically necessary service or supply,Medically necessary serv/sup,,,C,,200107012011,2025-09-12 20:34:03
SD001007,"Services provided by registered nurse with specialized, highly technical home",Serv by home infusion rn,,,I,,200107012001,2025-09-12 20:34:03
SD002008,infusion training,,,,,,,2025-09-12 20:34:03
SE001007,State and/or federally-funded programs/services,State/fed funded program/ser,,,I,,200107012001,2025-09-12 20:34:03
SF001007,Second opinion ordered by a professional review organization (pro) per section,2nd opinion ordered by pro,,,C,,198701011997,2025-09-12 20:34:03
SF002008,"9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)",,,,,,,2025-09-12 20:34:03
SG001007,Ambulatory surgical center (asc) facility service,Asc facility service,,,C,,199201011997,2025-09-12 20:34:03
SH001007,Second concurrently administered infusion therapy,2nd concurrent infusion ther,,,I,,200107012001,2025-09-12 20:34:03
SJ001007,Third or more concurrently administered infusion therapy,3rd concurrent infusion ther,,,I,,200107012001,2025-09-12 20:34:03
SK001007,Member of high risk population (use only with codes for immunization),High risk population,,,I,,200204012002,2025-09-12 20:34:03
SL001007,State supplied vaccine,State supplied vaccine,,,I,,200204012002,2025-09-12 20:34:03
SM001007,Second surgical opinion,Second opinion,,,I,,200207012002,2025-09-12 20:34:03
SN001007,Third surgical opinion,Third opinion,,,I,,200207012002,2025-09-12 20:34:03
SQ001007,Item ordered by home health,Item ordered by home health,,,I,,200210012002,2025-09-12 20:34:03
SS001007,Home infusion services provided in the infusion suite of the iv therapy provide,rHit in infusion suite,,,I,,200410012004,2025-09-12 20:34:03
ST001007,Related to trauma or injury,Related to trauma or injury,,,I,,200301012003,2025-09-12 20:34:03
SU001007,Procedure performed in physician's office (to denote use of facility and,Performed in phys office,,,I,,200301012003,2025-09-12 20:34:03
SU002008,equipment),,,,,,,2025-09-12 20:34:03
SV001007,Pharmaceuticals delivered to patient's home but not utilized,Drugs delivered not used,,,I,,200301012003,2025-09-12 20:34:03
SW001007,Services provided by a certified diabetic educator,Serv by cert diab educator,,,C,,200404012004,2025-09-12 20:34:03
SY001007,Persons who are in close contact with member of high-risk population (use only,Contact w/high-risk pop,,,I,,200501012005,2025-09-12 20:34:03
SY002008,with codes for immunization),,,,,,,2025-09-12 20:34:03
SZ001007,Habilitative services,Habilitative services,,,C,,201407012018,2025-09-12 20:34:03
T1001007,"Left foot, second digit","Left foot, second digit",,,C,,199501011999,2025-09-12 20:34:03
T2001007,"Left foot, third digit","Left foot, third digit",,,C,,199501011999,2025-09-12 20:34:03
T3001007,"Left foot, fourth digit","Left foot, fourth digit",,,C,,199501011999,2025-09-12 20:34:03
T4001007,"Left foot, fifth digit","Left foot, fifth digit",,,C,,199501011999,2025-09-12 20:34:03
T5001007,"Right foot, great toe","Right foot, great toe",,,C,,199501011999,2025-09-12 20:34:03
T6001007,"Right foot, second digit","Right foot, second digit",,,C,,199501011999,2025-09-12 20:34:03
T7001007,"Right foot, third digit","Right foot, third digit",,,C,,199501011999,2025-09-12 20:34:03
T8001007,"Right foot, fourth digit","Right foot, fourth digit",,,C,,199501011999,2025-09-12 20:34:03
T9001007,"Right foot, fifth digit","Right foot, fifth digit",,,C,,199501011999,2025-09-12 20:34:03
TA001007,"Left foot, great toe","Left foot, great toe",,,C,,199501011999,2025-09-12 20:34:03
TB001007,"Drug or biological acquired with 340b drug pricing program discount, reported",340b drug,,,C,,201801012025,2025-09-12 20:34:03
TB002008,for informational purposes,,,,,,,2025-09-12 20:34:03
TC001007,"Technical component; under certain circumstances, a charge may be made for the",Technical component,,,C,,198401011997,2025-09-12 20:34:03
TC002008,technical component alone;  under those circumstances the technical component,,,,,,,2025-09-12 20:34:03
TC003008,charge is identified by adding modifier 'tc' to the usual procedure number;,,,,,,,2025-09-12 20:34:03
TC004008,technical component charges are institutional charges and not billed separately,,,,,,,2025-09-12 20:34:03
TC005008,"by physicians; however, portable x-ray suppliers only bill for technical",,,,,,,2025-09-12 20:34:03
TC006008,component and should utilize modifier tc; the charge data from portable x-ray,,,,,,,2025-09-12 20:34:03
TC007008,suppliers will then be used to build customary and prevailing profiles,,,,,,,2025-09-12 20:34:03
TD001007,Rn,Rn,,,I,,200107012001,2025-09-12 20:34:03
TE001007,Lpn/lvn,Lpn/lvn,,,I,,200107012001,2025-09-12 20:34:03
TF001007,Intermediate level of care,Intermediate level of care,,,I,,200107012001,2025-09-12 20:34:03
TG001007,Complex/high tech level of care,Complex/high tech level care,,,I,,200107012001,2025-09-12 20:34:03
TH001007,"Obstetrical treatment/services, prenatal or postpartum",Ob tx/srvcs prenatl/postpart,,,I,,200107012001,2025-09-12 20:34:03
TJ001007,"Program group, child and/or adolescent",Child/adolescent program gp,,,I,,200107012001,2025-09-12 20:34:03
TK001007,"Extra patient or passenger, non-ambulance",Extra patient or passenger,,,I,,200204012002,2025-09-12 20:34:03
TL001007,Early intervention/individualized family service plan (ifsp),Early intervention ifsp,,,I,,200204012002,2025-09-12 20:34:03
TM001007,Individualized education program (iep),Individualized ed prgrm(iep),,,I,,200204012002,2025-09-12 20:34:03
TN001007,Rural/outside providers' customary service area,Rural/out of service area,,,I,,200204012002,2025-09-12 20:34:03
TP001007,"Medical transport, unloaded vehicle",Med transprt unloaded vehicl,,,I,,200204012002,2025-09-12 20:34:03
TQ001007,Basic life support transport by a volunteer ambulance provider,Bls by volunteer amb providr,,,I,,200204012002,2025-09-12 20:34:03
TR001007,School-based individualized education program (iep) services provided outside,School-based iep out of dist,,,I,,200207012002,2025-09-12 20:34:03
TR002008,the public school district responsible for the student,,,,,,,2025-09-12 20:34:03
TS001007,Follow-up service,Follow-up service,,,C,,200210012006,2025-09-12 20:34:03
TT001007,Individualized service provided to more than one patient in same setting,Additional patient,,,I,,200210012002,2025-09-12 20:34:03
TU001007,"Special payment rate, overtime",Overtime payment rate,,,I,,200301012003,2025-09-12 20:34:03
TV001007,"Special payment rates, holidays/weekends",Holiday/weekend payment rate,,,I,,200301012003,2025-09-12 20:34:03
TW001007,Back-up equipment,Back-up equipment,,,I,,200301012003,2025-09-12 20:34:03
U1001007,"Medicaid level of care 1, as defined by each state",M/caid care lev 1 state def,,,I,,200207012002,2025-09-12 20:34:03
U2001007,"Medicaid level of care 2, as defined by each state",M/caid care lev 2 state def,,,I,,200207012002,2025-09-12 20:34:03
U3001007,"Medicaid level of care 3, as defined by each state",M/caid care lev 3 state def,,,I,,200207012002,2025-09-12 20:34:03
U4001007,"Medicaid level of care 4, as defined by each state",M/caid care lev 4 state def,,,I,,200207012002,2025-09-12 20:34:03
U5001007,"Medicaid level of care 5, as defined by each state",M/caid care lev 5 state def,,,I,,200207012002,2025-09-12 20:34:03
U6001007,"Medicaid level of care 6, as defined by each state",M/caid care lev 6 state def,,,I,,200207012002,2025-09-12 20:34:03
U7001007,"Medicaid level of care 7, as defined by each state",M/caid care lev 7 state def,,,I,,200207012002,2025-09-12 20:34:03
U8001007,"Medicaid level of care 8, as defined by each state",M/caid care lev 8 state def,,,I,,200207012002,2025-09-12 20:34:03
U9001007,"Medicaid level of care 9, as defined by each state",M/caid care lev 9 state def,,,I,,200207012002,2025-09-12 20:34:03
UA001007,"Medicaid level of care 10, as defined by each state",M/caid care lev 10 state def,,,I,,200207012002,2025-09-12 20:34:03
UB001007,"Medicaid level of care 11, as defined by each state",M/caid care lev 11 state def,,,I,,200207012002,2025-09-12 20:34:03
UC001007,"Medicaid level of care 12, as defined by each state",M/caid care lev 12 state def,,,I,,200207012002,2025-09-12 20:34:03
UD001007,"Medicaid level of care 13, as defined by each state",M/caid care lev 13 state def,,,I,,200207012002,2025-09-12 20:34:03
UE001007,Used durable medical equipment,Used durable med equipment,,,C,,198401011997,2025-09-12 20:34:03
UF001007,Services provided in the morning,"Services provided, morning",,,I,,200304012003,2025-09-12 20:34:03
UG001007,Services provided in the afternoon,"Services provided, afternoon",,,I,,200304012003,2025-09-12 20:34:03
UH001007,Services provided in the evening,"Services provided, evening",,,I,,200304012003,2025-09-12 20:34:03
UJ001007,Services provided at night,"Services provided, night",,,C,,200304012017,2025-09-12 20:34:03
UK001007,Services provided on behalf of the client to someone other than the client,Svc on behalf client-collat,,,I,,200304012003,2025-09-12 20:34:03
UK002008,(collateral relationship),,,,,,,2025-09-12 20:34:03
UN001007,Two patients served,Two patients served,,,C,0114,200401012004,2025-09-12 20:34:03
UP001007,Three patients served,Three patients served,,,C,0114,200401012004,2025-09-12 20:34:03
UQ001007,Four patients served,Four patients served,,,C,0114,200401012004,2025-09-12 20:34:03
UR001007,Five patients served,Five patients served,,,C,0114,200401012004,2025-09-12 20:34:03
US001007,Six or more patients served,Six or more patients served,,,C,0114,200401012004,2025-09-12 20:34:03
V1001007,Demonstration modifier 1,Demonstration modifier 1,,,C,,201701012017,2025-09-12 20:34:03
V2001007,Demonstration modifier 2,Demonstration modifier 2,,,C,,201701012017,2025-09-12 20:34:03
V3001007,Demonstration modifier 3,Demonstration modifier 3,,,C,,201701012017,2025-09-12 20:34:03
V4001007,Demonstration modifier 4,Demonstration modifier 4,,,C,,202010012020,2025-09-12 20:34:03
V5001007,Vascular catheter (alone or with any other vascular access),Vascular catheter,,,C,,201001012010,2025-09-12 20:34:03
V6001007,Arteriovenous graft (or other vascular access not including a vascular catheter,)Arteriovenous graft,,,C,,201001012010,2025-09-12 20:34:03
V7001007,Arteriovenous fistula only (in use with two needles),Arteriovenous fistula,,,C,,201001012010,2025-09-12 20:34:03
V8001007,Infection present,Infection present,,,C,,201001012012,2025-09-12 20:34:03
V9001007,No infection present,No infection present,,,C,,201001012012,2025-09-12 20:34:03
VM001007,Medicare diabetes prevention program (mdpp) virtual make-up session,Mdpp virtual make-up session,,,C,,201804012018,2025-09-12 20:34:03
VP001007,Aphakic patient,Aphakic patient,,,C,,198401011997,2025-09-12 20:34:03
X1001007,"Continuous/broad services: for reporting services by clinicians, who provide",Continuous/broad services,,,C,,201801012018,2025-09-12 20:34:03
X1002008,"the principal care for a patient, with no planned endpoint of the relationship;",,,,,,,2025-09-12 20:34:03
X1003008,"services in this category represent comprehensive care, dealing with the entire",,,,,,,2025-09-12 20:34:03
X1004008,"scope of patient problems, either directly or in a care coordination role;",,,,,,,2025-09-12 20:34:03
X1005008,"reporting clinician service examples include, but are not limited to: primary",,,,,,,2025-09-12 20:34:03
