level,type,usage,sort,parent,code,display_code,icd10_code,title_en,parent_title,detailed_title,definition,mortality_code,morbidity_code1,morbidity_code2,morbidity_code3,morbidity_code4,last_updated
4,T,X,1,A20,A23.1,A23.1,A231,Brucellosis due to Brucella abortus,Brucellosis,Brucellosis due to Brucella abortus,,010,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A23.2,A23.2,A232,Brucellosis due to Brucella suis,Brucellosis,Brucellosis due to Brucella suis,,010,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A23.3,A23.3,A233,Brucellosis due to Brucella canis,Brucellosis,Brucellosis due to Brucella canis,,010,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A23.8,A23.8,A238,Other brucellosis,Brucellosis,Other brucellosis,,010,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A23.9,A23.9,A239,"Brucellosis, unspecified",Brucellosis,"Brucellosis, unspecified",,010,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A20,A24.-,A24,A24,Glanders and melioidosis,Glanders and melioidosis,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A24.0,A24.0,A240,Glanders,Glanders and melioidosis,Glanders,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A24.1,A24.1,A241,Acute and fulminating melioidosis,Glanders and melioidosis,Acute and fulminating melioidosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A24.2,A24.2,A242,Subacute and chronic melioidosis,Glanders and melioidosis,Subacute and chronic melioidosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A24.3,A24.3,A243,Other melioidosis,Glanders and melioidosis,Other melioidosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A24.4,A24.4,A244,"Melioidosis, unspecified",Glanders and melioidosis,"Melioidosis, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A20,A25.-,A25,A25,Rat-bite fevers,Rat-bite fevers,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A25.0,A25.0,A250,Spirillosis,Rat-bite fevers,Spirillosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A25.1,A25.1,A251,Streptobacillosis,Rat-bite fevers,Streptobacillosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A25.9,A25.9,A259,"Rat-bite fever, unspecified",Rat-bite fevers,"Rat-bite fever, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A20,A26.-,A26,A26,Erysipeloid,Erysipeloid,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A26.0,A26.0,A260,Cutaneous erysipeloid,Erysipeloid,Cutaneous erysipeloid,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A26.7,A26.7,A267,Erysipelothrix sepsis,Erysipeloid,Erysipelothrix sepsis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A26.8,A26.8,A268,Other forms of erysipeloid,Erysipeloid,Other forms of erysipeloid,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A26.9,A26.9,A269,"Erysipeloid, unspecified",Erysipeloid,"Erysipeloid, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A20,A27.-,A27,A27,Leptospirosis,Leptospirosis,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A27.0,A27.0,A270,Leptospirosis icterohaemorrhagica,Leptospirosis,Leptospirosis icterohaemorrhagica,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A27.8,A27.8,A278,Other forms of leptospirosis,Leptospirosis,Other forms of leptospirosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A27.9,A27.9,A279,"Leptospirosis, unspecified",Leptospirosis,"Leptospirosis, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A20,A28.-,A28,A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified",,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A28.0,A28.0,A280,Pasteurellosis,"Other zoonotic bacterial diseases, not elsewhere classified",Pasteurellosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A28.1,A28.1,A281,Cat-scratch disease,"Other zoonotic bacterial diseases, not elsewhere classified",Cat-scratch disease,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A28.2,A28.2,A282,Extraintestinal yersiniosis,"Other zoonotic bacterial diseases, not elsewhere classified",Extraintestinal yersiniosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A28.8,A28.8,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A20,A28.9,A28.9,A289,"Zoonotic bacterial disease, unspecified","Other zoonotic bacterial diseases, not elsewhere classified","Zoonotic bacterial disease, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A30.-,A30,A30,Leprosy [Hansen disease],Leprosy [Hansen disease],,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.0,A30.0,A300,Indeterminate leprosy,Leprosy [Hansen disease],Indeterminate leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.1,A30.1,A301,Tuberculoid leprosy,Leprosy [Hansen disease],Tuberculoid leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.2,A30.2,A302,Borderline tuberculoid leprosy,Leprosy [Hansen disease],Borderline tuberculoid leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.3,A30.3,A303,Borderline leprosy,Leprosy [Hansen disease],Borderline leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.4,A30.4,A304,Borderline lepromatous leprosy,Leprosy [Hansen disease],Borderline lepromatous leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.5,A30.5,A305,Lepromatous leprosy,Leprosy [Hansen disease],Lepromatous leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.8,A30.8,A308,Other forms of leprosy,Leprosy [Hansen disease],Other forms of leprosy,,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A30.9,A30.9,A309,"Leprosy, unspecified",Leprosy [Hansen disease],"Leprosy, unspecified",,011,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A31.-,A31,A31,Infection due to other mycobacteria,Infection due to other mycobacteria,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A31.0,A31.0,A310,Pulmonary mycobacterial infection,Infection due to other mycobacteria,Pulmonary mycobacterial infection,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A31.1,A31.1,A311,Cutaneous mycobacterial infection,Infection due to other mycobacteria,Cutaneous mycobacterial infection,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A31.8,A31.8,A318,Other mycobacterial infections,Infection due to other mycobacteria,Other mycobacterial infections,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A31.9,A31.9,A319,"Mycobacterial infection, unspecified",Infection due to other mycobacteria,"Mycobacterial infection, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A32.-,A32,A32,Listeriosis,Listeriosis,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A32.0,A32.0,A320,Cutaneous listeriosis,Listeriosis,Cutaneous listeriosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A32.1,A32.1,A321,Listerial meningitis and meningoencephalitis,Listeriosis,Listerial meningitis and meningoencephalitis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A32.7,A32.7,A327,Listerial sepsis,Listeriosis,Listerial sepsis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A32.8,A32.8,A328,Other forms of listeriosis,Listeriosis,Other forms of listeriosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A32.9,A32.9,A329,"Listeriosis, unspecified",Listeriosis,"Listeriosis, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,T,X,1,A30,A33,A33,A33,Tetanus neonatorum,Tetanus neonatorum,,,012,4-004,3-005,2-007,1-008,2025-09-12 20:34:44
3,T,X,1,A30,A34,A34,A34,Obstetrical tetanus,Obstetrical tetanus,,,013,UNDEF,UNDEF,2-007,1-008,2025-09-12 20:34:44
3,T,X,1,A30,A35,A35,A35,Other tetanus,Other tetanus,,,013,4-004,3-005,2-007,1-008,2025-09-12 20:34:44
3,N,X,1,A30,A36.-,A36,A36,Diphtheria,Diphtheria,,,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
4,T,X,1,A30,A36.0,A36.0,A360,Pharyngeal diphtheria,Diphtheria,Pharyngeal diphtheria,,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
4,T,X,1,A30,A36.1,A36.1,A361,Nasopharyngeal diphtheria,Diphtheria,Nasopharyngeal diphtheria,,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
4,T,X,1,A30,A36.2,A36.2,A362,Laryngeal diphtheria,Diphtheria,Laryngeal diphtheria,,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
4,T,X,1,A30,A36.3,A36.3,A363,Cutaneous diphtheria,Diphtheria,Cutaneous diphtheria,,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
4,T,X,1,A30,A36.8,A36.8,A368,Other diphtheria,Diphtheria,Other diphtheria,,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
4,T,X,1,A30,A36.9,A36.9,A369,"Diphtheria, unspecified",Diphtheria,"Diphtheria, unspecified",,014,4-005,3-006,2-008,1-009,2025-09-12 20:34:44
3,N,X,1,A30,A37.-,A37,A37,Whooping cough,Whooping cough,,,015,4-006,3-007,2-009,1-010,2025-09-12 20:34:44
4,T,X,1,A30,A37.0,A37.0,A370,Whooping cough due to Bordetella pertussis,Whooping cough,Whooping cough due to Bordetella pertussis,,015,4-006,3-007,2-009,1-010,2025-09-12 20:34:44
4,T,X,1,A30,A37.1,A37.1,A371,Whooping cough due to Bordetella parapertussis,Whooping cough,Whooping cough due to Bordetella parapertussis,,015,4-006,3-007,2-009,1-010,2025-09-12 20:34:44
4,T,X,1,A30,A37.8,A37.8,A378,Whooping cough due to other Bordetella species,Whooping cough,Whooping cough due to other Bordetella species,,015,4-006,3-007,2-009,1-010,2025-09-12 20:34:44
4,T,X,1,A30,A37.9,A37.9,A379,"Whooping cough, unspecified",Whooping cough,"Whooping cough, unspecified",,015,4-006,3-007,2-009,1-010,2025-09-12 20:34:44
3,T,X,1,A30,A38,A38,A38,Scarlet fever,Scarlet fever,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A39.-,A39,A39,Meningococcal infection,Meningococcal infection,,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.0,A39.0,A390,Meningococcal meningitis,Meningococcal infection,Meningococcal meningitis,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.1,A39.1,A391,Waterhouse-Friderichsen syndrome,Meningococcal infection,Waterhouse-Friderichsen syndrome,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.2,A39.2,A392,Acute meningococcaemia,Meningococcal infection,Acute meningococcaemia,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.3,A39.3,A393,Chronic meningococcaemia,Meningococcal infection,Chronic meningococcaemia,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.4,A39.4,A394,"Meningococcaemia, unspecified",Meningococcal infection,"Meningococcaemia, unspecified",,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.5,A39.5,A395,Meningococcal heart disease,Meningococcal infection,Meningococcal heart disease,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.8,A39.8,A398,Other meningococcal infections,Meningococcal infection,Other meningococcal infections,,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
4,T,X,1,A30,A39.9,A39.9,A399,"Meningococcal infection, unspecified",Meningococcal infection,"Meningococcal infection, unspecified",,016,4-007,3-008,2-010,1-011,2025-09-12 20:34:44
3,N,X,1,A30,A40.-,A40,A40,Streptococcal sepsis,Streptococcal sepsis,,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A40.0,A40.0,A400,"Sepsis due to streptococcus, group A",Streptococcal sepsis,"Sepsis due to streptococcus, group A",,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A40.1,A40.1,A401,"Sepsis due to streptococcus, group B",Streptococcal sepsis,"Sepsis due to streptococcus, group B",,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A40.2,A40.2,A402,"Sepsis due to streptococcus, group D and enterococcus",Streptococcal sepsis,"Sepsis due to streptococcus, group D and enterococcus",,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A40.3,A40.3,A403,Sepsis due to Streptococcus pneumoniae,Streptococcal sepsis,Sepsis due to Streptococcus pneumoniae,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A40.8,A40.8,A408,Other streptococcal sepsis,Streptococcal sepsis,Other streptococcal sepsis,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A40.9,A40.9,A409,"Streptococcal sepsis, unspecified",Streptococcal sepsis,"Streptococcal sepsis, unspecified",,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
3,N,X,1,A30,A41.-,A41,A41,Other sepsis,Other sepsis,,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.0,A41.0,A410,Sepsis due to Staphylococcus aureus,Other sepsis,Sepsis due to Staphylococcus aureus,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.1,A41.1,A411,Sepsis due to other specified staphylococcus,Other sepsis,Sepsis due to other specified staphylococcus,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.2,A41.2,A412,Sepsis due to unspecified staphylococcus,Other sepsis,Sepsis due to unspecified staphylococcus,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.3,A41.3,A413,Sepsis due to Haemophilus influenzae,Other sepsis,Sepsis due to Haemophilus influenzae,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.4,A41.4,A414,Sepsis due to anaerobes,Other sepsis,Sepsis due to anaerobes,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.5,A41.5,A415,Sepsis due to other Gram-negative organisms,Other sepsis,Sepsis due to other Gram-negative organisms,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.8,A41.8,A418,Other specified sepsis,Other sepsis,Other specified sepsis,,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
4,T,X,1,A30,A41.9,A41.9,A419,"Sepsis, unspecified",Other sepsis,"Sepsis, unspecified",,017,4-008,3-009,2-011,1-012,2025-09-12 20:34:44
3,N,X,1,A30,A42.-,A42,A42,Actinomycosis,Actinomycosis,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A42.0,A42.0,A420,Pulmonary actinomycosis,Actinomycosis,Pulmonary actinomycosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A42.1,A42.1,A421,Abdominal actinomycosis,Actinomycosis,Abdominal actinomycosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A42.2,A42.2,A422,Cervicofacial actinomycosis,Actinomycosis,Cervicofacial actinomycosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A42.7,A42.7,A427,Actinomycotic sepsis,Actinomycosis,Actinomycotic sepsis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A42.8,A42.8,A428,Other forms of actinomycosis,Actinomycosis,Other forms of actinomycosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A42.9,A42.9,A429,"Actinomycosis, unspecified",Actinomycosis,"Actinomycosis, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A43.-,A43,A43,Nocardiosis,Nocardiosis,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A43.0,A43.0,A430,Pulmonary nocardiosis,Nocardiosis,Pulmonary nocardiosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A43.1,A43.1,A431,Cutaneous nocardiosis,Nocardiosis,Cutaneous nocardiosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A43.8,A43.8,A438,Other forms of nocardiosis,Nocardiosis,Other forms of nocardiosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A43.9,A43.9,A439,"Nocardiosis, unspecified",Nocardiosis,"Nocardiosis, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A44.-,A44,A44,Bartonellosis,Bartonellosis,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A44.0,A44.0,A440,Systemic bartonellosis,Bartonellosis,Systemic bartonellosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A44.1,A44.1,A441,Cutaneous and mucocutaneous bartonellosis,Bartonellosis,Cutaneous and mucocutaneous bartonellosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A44.8,A44.8,A448,Other forms of bartonellosis,Bartonellosis,Other forms of bartonellosis,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A44.9,A44.9,A449,"Bartonellosis, unspecified",Bartonellosis,"Bartonellosis, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,T,X,1,A30,A46,A46,A46,Erysipelas,Erysipelas,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A48.-,A48,A48,"Other bacterial diseases, not elsewhere classified","Other bacterial diseases, not elsewhere classified",,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A48.0,A48.0,A480,Gas gangrene,"Other bacterial diseases, not elsewhere classified",Gas gangrene,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A48.1,A48.1,A481,Legionnaires disease,"Other bacterial diseases, not elsewhere classified",Legionnaires disease,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A48.2,A48.2,A482,Nonpneumonic Legionnaires disease [Pontiac fever],"Other bacterial diseases, not elsewhere classified",Nonpneumonic Legionnaires disease [Pontiac fever],,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A48.3,A48.3,A483,Toxic shock syndrome,"Other bacterial diseases, not elsewhere classified",Toxic shock syndrome,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A48.4,A48.4,A484,Brazilian purpuric fever,"Other bacterial diseases, not elsewhere classified",Brazilian purpuric fever,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A48.8,A48.8,A488,Other specified bacterial diseases,"Other bacterial diseases, not elsewhere classified",Other specified bacterial diseases,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A30,A49.-,A49,A49,Bacterial infection of unspecified site,Bacterial infection of unspecified site,,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A49.0,A49.0,A490,"Staphylococcal infection, unspecified site",Bacterial infection of unspecified site,"Staphylococcal infection, unspecified site",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A49.1,A49.1,A491,"Streptococcal and enterococcal infection, unspecified site",Bacterial infection of unspecified site,"Streptococcal and enterococcal infection, unspecified site",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A49.2,A49.2,A492,"Haemophilus influenzae infection, unspecified site",Bacterial infection of unspecified site,"Haemophilus influenzae infection, unspecified site",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A49.3,A49.3,A493,"Mycoplasma infection, unspecified site",Bacterial infection of unspecified site,"Mycoplasma infection, unspecified site",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A49.8,A49.8,A498,Other bacterial infections of unspecified site,Bacterial infection of unspecified site,Other bacterial infections of unspecified site,,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
4,T,X,1,A30,A49.9,A49.9,A499,"Bacterial infection, unspecified",Bacterial infection of unspecified site,"Bacterial infection, unspecified",,018,4-014,3-015,2-024,1-025,2025-09-12 20:34:44
3,N,X,1,A50,A50.-,A50,A50,Congenital syphilis,Congenital syphilis,,,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.0,A50.0,A500,"Early congenital syphilis, symptomatic",Congenital syphilis,"Early congenital syphilis, symptomatic",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.1,A50.1,A501,"Early congenital syphilis, latent",Congenital syphilis,"Early congenital syphilis, latent",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.2,A50.2,A502,"Early congenital syphilis, unspecified",Congenital syphilis,"Early congenital syphilis, unspecified",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.3,A50.3,A503,Late congenital syphilitic oculopathy,Congenital syphilis,Late congenital syphilitic oculopathy,,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.4,A50.4,A504,Late congenital neurosyphilis [juvenile neurosyphilis],Congenital syphilis,Late congenital neurosyphilis [juvenile neurosyphilis],,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.5,A50.5,A505,"Other late congenital syphilis, symptomatic",Congenital syphilis,"Other late congenital syphilis, symptomatic",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.6,A50.6,A506,"Late congenital syphilis, latent",Congenital syphilis,"Late congenital syphilis, latent",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.7,A50.7,A507,"Late congenital syphilis, unspecified",Congenital syphilis,"Late congenital syphilis, unspecified",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A50.9,A50.9,A509,"Congenital syphilis, unspecified",Congenital syphilis,"Congenital syphilis, unspecified",,019,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
3,N,X,1,A50,A51.-,A51,A51,Early syphilis,Early syphilis,,,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.0,A51.0,A510,Primary genital syphilis,Early syphilis,Primary genital syphilis,,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.1,A51.1,A511,Primary anal syphilis,Early syphilis,Primary anal syphilis,,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.2,A51.2,A512,Primary syphilis of other sites,Early syphilis,Primary syphilis of other sites,,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.3,A51.3,A513,Secondary syphilis of skin and mucous membranes,Early syphilis,Secondary syphilis of skin and mucous membranes,,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.4,A51.4,A514,Other secondary syphilis,Early syphilis,Other secondary syphilis,,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.5,A51.5,A515,"Early syphilis, latent",Early syphilis,"Early syphilis, latent",,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A51.9,A51.9,A519,"Early syphilis, unspecified",Early syphilis,"Early syphilis, unspecified",,020,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
3,N,X,1,A50,A52.-,A52,A52,Late syphilis,Late syphilis,,,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.0,A52.0,A520,Cardiovascular syphilis,Late syphilis,Cardiovascular syphilis,,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.1,A52.1,A521,Symptomatic neurosyphilis,Late syphilis,Symptomatic neurosyphilis,,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.2,A52.2,A522,Asymptomatic neurosyphilis,Late syphilis,Asymptomatic neurosyphilis,,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.3,A52.3,A523,"Neurosyphilis, unspecified",Late syphilis,"Neurosyphilis, unspecified",,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.7,A52.7,A527,Other symptomatic late syphilis,Late syphilis,Other symptomatic late syphilis,,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.8,A52.8,A528,"Late syphilis, latent",Late syphilis,"Late syphilis, latent",,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A52.9,A52.9,A529,"Late syphilis, unspecified",Late syphilis,"Late syphilis, unspecified",,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
3,N,X,1,A50,A53.-,A53,A53,Other and unspecified syphilis,Other and unspecified syphilis,,,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A53.0,A53.0,A530,"Latent syphilis, unspecified as early or late",Other and unspecified syphilis,"Latent syphilis, unspecified as early or late",,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
4,T,X,1,A50,A53.9,A53.9,A539,"Syphilis, unspecified",Other and unspecified syphilis,"Syphilis, unspecified",,021,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
3,N,X,1,A50,A54.-,A54,A54,Gonococcal infection,Gonococcal infection,,,022,4-014,3-015,2-012,1-013,2025-09-12 20:34:44
